"English","Italian","Success","Total"
"to know, conjugated in future tense","saprò*saprai*saprà*sapremo*saprete*sapranno",3,3
"to imagine","immaginare",5,5
"to apologize","scusarsi",5,5
"worse","peggiore, più cattivo",7,7
"to change","modificare, cambiare",7,9
"snow","neve",11,11
"to joke","scherzare",8,13
"poor","povero",15,19
"tooth","dente",0,2
"to wake up","svegliarsi",3,4
"to become angy","arrabbiarsi",3,6
"to stay/be in present subjunctive","stia*stia*stia*stiamo*stiate*stiano",6,6
"lunch","pranzo",6,8
"a delay","un ritardo",8,8
"winter","l'inverno",9,10
"something","qualcosa",19,26
"what a shame!","che peccato!",4,5
"to drink, conjugated in imperfect (past)","bevevo*bevevi*beveva*bevevamo*bevevate*bevevano",4,5
"floor, story","piano",9,9
"dash","scappata",13,15
"married","sposato",12,15
"to choose, conjugated in imperative","-*scegli*scegla*scegliamo*scegliete*scelgano",0,0
"effort","sforzo",0,0
"tiring","faticosa",0,0
"to go, conjugated in conditional","andrei*andresti*andrebbe*andremmo*andreste*andrebbero",4,4
"monday","lunedi",8,8
"to prefer, conjugated in present subjunctive","preferisca*preferisca*preferisca*preferiamo*preferiate*preferiscano",8,10
"at the doctor","dal dottore",12,14
"announcement, news","avviso",15,20
"to matter, to be important","importare",1,1
"giving","dando",3,3
"saying","dicendo",3,3
"to say/tell, conjugated in imperfect (past)","dicevo*dicevi*diceva*dicevamo*dicevate*dicevano",4,5
"in any case","in ogni caso",7,7
"month","il mese",7,7
"still, motionless","fermo",8,9
"to call oneself (i.e. my name is)","chiamarsi",9,9
"Happy Birthday","Buon Compleanno",10,11
"mind, thoughts","animo",14,19
"to speak, conjugated as past participle","avere parlato",4,4
"They are going to leave in a week","Loro partirano fra una settimana",3,6
"to drink, conjugated in imperfect subjunctive","bevessi*bevessi*bevesse*bevessimo*beveste*bevessero",4,6
"to start, conjugated in future tense","comincerò*comincerai*comincerà*cominceremo*comincerete*cominceranno",5,6
"tonight","stasera",6,6
"road signs","i segnali stradali",10,12
"consonants","consonati",11,12
"often","spesso",21,40
"me also","anch'io",1,1
"to drink, conjugated in present tense","bevo*bevi*beve*beviamo*bevete*bevono",2,3
"hello again","ari ciao",5,5
"sugar","zucchero",6,7
"to stay","stare",9,9
"jump","un salto",9,9
"to drink","bere",10,11
"diary products","i latticini",11,13
"there were","c'erano",19,27
"pay attention","fare attenzione",2,2
"to move away, to push out","allontanarsi",5,6
"to choose/select","scegliere",6,8
"opposite","opposto, il contrario",8,8
"I'm hot","ho caldo",12,14
"women","donne",14,18
"to be, conjugated in imperative","-*sii*sia*siamo*siate*siano",0,1
"map","la carta",3,3
"to seem","sembrare",5,5
"ago","fa",5,5
"to get better, heal","guarire",4,7
"to put, conjugated in future tense","metterò*metterai*metterà*metteremo*metterete*metteranno",7,7
"here","qui, qua",15,19
"limit, border","termine",16,21
"to have, conjugated in imperative","-*abbi*abbia*abbiamo*abbiate*abbiano",0,2
"list","lista",2,2
"leaving","partendo",4,4
"take out food","cibo a portar via",5,6
"to take, conjugated in past participle","avere preso",5,6
"to send","mandare",3,3
"thief, robber","ladro",3,3
"various","vario",5,5
"watch","orologio",5,5
"to eat, conjugated as past participle","avere mangiato",5,5
"to live","vivere",7,7
"country","la paese",7,7
"to go out, conjugated in present tense","esco*esci*esce*usciamo*uscite*escono",6,9
"to feel","sentirsi",9,9
"peace, harmony","pace",11,11
"to wait for, conjugated in present subjunctive","aspetti*aspetti*aspetti*aspettiamo*aspettiate*aspettino",8,17
"to leave something","lasciare",14,19
"happiness","felicitá",16,21
"to want, conjugated in conditional","vorrei*vorresti*vorrebbe*vorremmo*vorreste*vorrebbero",2,2
"to find","trovare",5,6
"slow","lento",8,8
"open","aperto, aperta",8,8
"highway","autostrada",10,10
"piece of wood","pezzo de legno",9,12
"each","ogni",10,12
"on schedule","in orario",11,12
"there","là, lì",11,16
"to jump","saltare",1,1
"to hurt","fare male",3,3
"to remember","ricordare",4,5
"to wash oneself","lavarsi",4,5
"break, fracture","frattura",5,5
"dear","cari",5,5
"to have fun","divertirsi",5,5
"beside","accanto a",15,21
"to omit, to fail, to neglect","tralasciare",16,31
"occupations","i mestieri",23,33
"to say/tell, conjugated in imperative","-*di'*dica*diciamo*dite*dicano",1,2
"to eat, conjugated in imperative","-*mangia*mangi*mangiamo*mangiate*mangino",2,2
"to know, conjugated in conditional","saprei*sapresti*saprebbe*sapremmo*sapreste*saprebbero",2,2
"don't write (formal)","non scriva",2,4
"to be able to, conjugated in future tense","potrò*potrai*potrà*potremo*potrete*potranno",3,4
"to take the metro","prendere la metro",4,4
"opportunity","opportunità",4,4
"elevator","ascensore",4,4
"nice to meet you","piacere, piacere di conoscerla",5,6
"referee","arbitro",5,8
"soap","sapone",6,8
"last (i.e. the last month)","il ultimo",8,8
"word","parola",8,10
"to rob","rubare",9,10
"son/daughter","figlio/figlia",9,10
"to stay, conjugated in present tense","sto*stai*sta*stiamo*state*stanno",12,14
"already","già",19,34
"key","la chiave",7,7
"to feel, conjugated in future tense","sentirò*sentirai*sentirà*sentiremo*sentirete*sentiranno",8,9
"within","entro",13,19
"to stay, conjugated in future tense","starò*starai*starà*staremo*starete*staranno",2,2
"cup","tazza",6,8
"to drink, conjugated in future tense","berrò*berrai*berrà*berremo*berrete*berranno",3,4
"wife","la moglie",20,28
"down, downstairs","giù",14,20
"divorced","divorziato",14,18
"at the dentist","dal dentista",10,10
"until","fino a che",8,13
"to say, conjugated in past participle","avere detto",8,13
"there is","c'e",11,13
"bigger","maggiore, più grande",5,5
"own (i.e. my own house)","propria",3,3
"to do/make, conjugated in imperfect (past)","facevo*facevi*faceva*facevamo*facevate*facevano",3,3
"quietly","piano",1,1
"direction","direzione",1,1
"to cry","piangere",10,16
"to worry","preoccuparsi",7,12
"straight (i.e. continue straight)","diritto",11,12
"to mean (i.e. I meant to say)","voler dire",8,8
"to return","tornarci",4,6
"somewhere","da qualche parte",2,2
"to say","dire",9,9
"Genuis, talent, gift","genio",7,7
"good hearted","bravo",7,7
"I should have won","avrei dovuto vincere",3,3
"to tow/pick up women","rimorchiare",0,1
"to have to","bisognare, dovere",28,40
"right","la destra",14,18
"to swim","nuotare",7,12
"to desire","desiderare",6,8
"soul, heart","anima",6,8
"to learn","imparare, apprendere",8,8
"punctual","puntuale",8,8
"They will leave in a month","Loro partiranno tra un mese.",5,6
"to win","vincere",4,4
"to go, conjugated in imperative","-*va*vada*andiamo*andate*vadano",0,2
"a week ago","una settemana fa",14,17
"to hold, to keep","tenere",9,9
"to be able to, conjugated in imperfect subjunctive","potessi*potessi*potesse*potessimo*poteste*potessero",3,7
"after","dopo (di)",7,7
"game, toy","gioco",7,7
"to obtain","ottenere",7,7
"to see, conjugated in conditional","vedrei*vedresti*vedrebbe*vedremmo*vedreste*vedrebbero",3,5
"to eat lunch","pranzare",5,5
"could you speak a little slower","potresti parlare un poco lentamente",0,1
"to go out, conjugated in imperative","-*esci*esca*usciamo*uscite*escano",0,1
"again","ancora, dinuovo",11,12
"tomato","pomodoro",8,10
"ugly","brutto",10,10
"no one","nessuno",6,8
"fruits","le frutte",8,8
"I'm cold","ho freddo",8,8
"to say, conjugated in imperfect subjunctive","dicessi*dicessi*dicesse*dicessimo*diceste*dicessero",5,6
"to complain","lamentarsi",4,4
"to eat, conjugated in conditional","mangerei*mangeresti*mangerebbe*mangeremmo*mangereste*mangerebbero",2,2
"behind, in back of","dietro a",14,21
"the head","la testa",13,17
"to be wrong, to make a mistake","sbagliare",10,15
"sponge","la spugna",10,11
"against","contro",10,11
"traditional rice balls","suppli",6,7
"to look at","guardare",7,7
"to prepare oneself","prepararsi",3,3
"to play, conjugated in past participle","avere giocato",3,3
"together","insieme",1,1
"to go, conjugated in present tense","vado*vai*va*andiamo*andate*vanno",15,20
"a piece","un pezzo",14,18
"to be born","nascere",6,10
"To not be disgusted by anything","avere il pelo sullo stomaco",4,6
"to descend, conjugated in past participle","essere sceso/a/i/e",9,21
"to sell","vendere",9,9
"to finish","finire",9,9
"to contain","contenere",9,9
"to be so-so","stare così così",7,7
"task, homework assignment","compito",4,5
"to do/make, conjugated in future tense","farò*farai*farà*faremo*farete*faranno",3,3
"to get married","sposarsi",3,3
"to know, conjugated in present tense","so*sai*sa*sappiamo*sapete*sanno",18,26
"to close","chiudere",17,24
"tree","albero",17,22
"like this","così",11,14
"mad, crazy, insane","matto",12,14
"terrace","terrazza",9,10
"how beautiful you are","quanto sei bello",5,8
"to leave, conjugated as past participle","essere partito/a/e/i",7,8
"fish","i pesci",8,8
"day","il giorno",8,8
"to begin, conjugated in conditional","comincerei*cominceresti*comincerebbe*cominceremmo*comincereste*comincerebbero",2,2
"to do/make, conjugated in conditional","farei*faresti*farebbe*faremmo*fareste*farebbero",2,2
"to wait, conjugated in imperative","-*aspetta*aspetti*aspettiamo*aspettate*aspettino",2,2
"Saturday","sabato",8,9
"strong, large, stout","forte",9,9
"enormous","enorme",6,7
"fast","rapido, veloce",7,7
"to close, conjugated in present subjunctive","chiuda*chiuda*chiuda*chiudiamo*chiudiate*chiudano",5,5
"pocket","la tasca",4,5
"come here!","vieni qui!",5,5
"to descend","scendere",5,5
"entrance","ingresso",3,3
"how was it?","com'era",1,1
"there was","c'era",20,28
"in vain, to no purpose","invano",9,10
"to have","avere",10,10
"a hotel","un albergo",9,10
"to forget","dimenticarsi",4,4
"stereotypes","luogo commune",2,2
"then","quindi",2,2
"to have to, conjugated in conditional","dovrei*dovresti*dovrebbe*dovremmo*dovreste*dovrebbero",2,2
"round, about","intorno",9,11
"to stay, conjugated in past participle","essere stato/a/i/e",5,7
"inspiration/good idea","ispirazione",3,5
"to sit","sedersi",4,5
"to move out, to evacuate","sgomberare",0,3
"to fall, conjugated in conditional","cadrei*cadresti*cadrebbe*cadremmo*cadreste*cadrebbero",3,3
"seasons","stagioni",12,20
"jewelry","i gioielli",15,20
"to stop","fermare",14,18
"men","uomini",13,16
"to travel","viaggiare",13,14
"to love","amare",10,10
"football","calcio",7,8
"to reply","rispondere",6,6
"I don't know","boh",4,4
"to play, conjugated in conditional","giocherei*giocheresti*giocherebbe*giocheremmo*giochereste*giocherebbero",3,4
"to hold/keep, conjugated in conditional","terrei*terresti*terrebbe*terremmo*terreste*terrebbero",2,2
"between","fra, tra",12,15
"to want","volere",13,15
"According to Sarah, I should have studied more","Secondo Sarah, io avrei dovuto studiare di piu",2,5
"to bother","molestare",4,5
"What is it","che cos'è ",3,3
"useless, unserviceable","inadoperabile",16,20
"over there, down there","laggiù",13,18
"to do","fare",12,14
"husband","il marito",9,10
"to miss","mancare",5,8
"work, toil","lavoro",8,8
"with pleasure","con piacere",4,4
"also","anche, pure",19,35
"post office","l'ufficio postale",19,25
"Thursday","giovedi",12,15
"narration, story","racconto",10,13
"to say, conjugated in present tense","dico*dici*dice*diciamo*dite*dicono",6,11
"such that","tal e",7,11
"bad","cativo",10,11
"to come, conjugated in future tense","verrò*verrai*verrà*verremo*verrete*verranno",4,9
"column, pillar","colonna",6,7
"to mean (i.e. what does that word mean?)","significare",7,7
"pancakes","frittelle",0,1
"Friday","venerdi",16,20
"disorder, untidiness","disordine",10,16
"to know","sapere",11,12
"a certain amount of, some","alquanto",6,8
"to be (essere) in present subjunctive","sia*sia*sia*siamo*siate*siano",6,8
"money","soldi",7,8
"railroad","la ferrovia",8,8
"to hold/keep, conjugated in present tense","tengo*tieni*tiene*teniamo*tenete*tengono",4,6
"to arrive, conjugated as past participle","essere arrivato/a/e/i",5,6
"long","lunghi, lungo",6,6
"to use","usare",2,2
"don't wait (informal)","non aspettare",2,2
"to stay, conjugated in conditional","starei*staresti*starebbe*staremmo*stareste*starebbero",2,2
"under","sotto",18,31
"to come, conjugated in past participle","essere venuto/a/i/e",7,11
"short","basso",10,11
"the United States","gli Stati Uniti",10,11
"to understand","capire",9,9
"Could you give me your pen?","Mi potresti dare la tua penna?",3,5
"I have eaten already","Ho già mangiato",4,5
"to last (i.e. how long does it last?)","durare",5,5
"cloudy","nuvoloso",1,1
"to be able to, conjugated in present tense","posso*puoi*può*possiamo*potete*possono",15,20
"when","quando",8,8
"sandwich but with a tortilla","piadina",4,6
"sale (e.g. garage sale)","svendita",3,4
"room","sala",4,4
"cheers","evviva",4,4
"then","allora, poi",21,27
"therefore","dunque, perciò",15,21
"before","prima di",14,19
"afterward","dopo, in seguito",9,11
"cool","figo",7,9
"yesterday","ieri",9,9
"to pick up","raccattare",5,7
"show, performance","spettacolo",4,5
"chocolate","cioccolato",5,5
"ready","pronto",21,38
"to like","piacere",13,16
"school","scuola",11,12
"musical instruments","gli strumenti musicali",10,12
"checking in","registrazione",10,12
"how much","quanto",9,10
"to read, conjugated in past participle","avere letto",6,8
"to need","avere bisogno di",8,8
"to occur, to happen","succedere",6,6
"at the border","al confine",15,19
"to explain","spiegare",2,9
"to decide, conjugated in past participle","avere deciso",7,9
"their","loro",7,7
"platform, sidewalk","il marciapiede",7,7
"to work (my computer works)","funzionare",5,5
"to go up/climb, conjugated in imperative","-*sali*salga*saliamo*salite*salgano",0,1
"where are you from","di dove sei",1,1
"up, upstairs","su",14,18
"boredom","noia",12,16
"family","la famiglia",13,14
"alphabet","alfabeto",14,14
"to put, conjugated in past participle","avere messo",6,10
"horse","cavallo",10,10
"desserts and sweets","i dolci",9,10
"to oben","aprire",8,8
"food","alimento, il cibo",16,21
"Tuesday","martedi",12,15
"song","il canto",12,15
"the gate","l'uscita",12,15
"at the barber shop","dal barbiere",10,11
"the next","il proccimo",10,11
"to stay, conjugated in imperfect (past)","stavo*stavi*stava*stavamo*stavate*stavano",4,9
"just (i.e. I just ate)","appena",6,7
"town / city","la città",7,7
"it's bad (weather)","fa brutto tempo",7,7
"to pet","accarezzare",3,5
"Really?","davvero",3,3
"a little strange","un po strano",1,1
"stress","accento tonico",13,16
"as <adjective> as","cosi <aggettivo> come, tanto <aggettivo> quanto",9,14
"road","strada",10,10
"it's cool (weather)","fa fresco",8,8
"birds","uccelli",5,6
"dirty laundry","la roba sporca",10,11
"to clean, conjugated in conditional","pulirei*puliresti*pulirebbe*puliremmo*pulireste*pulirebbero",3,5
"closed","chiuso, chiusa",19,26
"Sunday","domenica",13,16
"mai","never",8,10
"donut","bomba, bombolone, ciambella",6,8
"driver's license","patente",5,6
"same","medesimo, stesso",18,25
"morning","mattina",17,23
"usually","di solito, normalmente",9,15
"at the movies","al cinema",13,15
"soups","le zuppe",11,13
"pleased, content","contento",11,11
"to have, conjugated in present subjunctive","abbia*abbia*abbia*abbiamo*abbiate*abbiano",5,9
"man","uomo",9,9
"to take","prendere",9,9
"very tall","altissimo",7,7
"take a picture","fotografare",5,5
"to have to, conjugated in future tense","dovrò*dovrai*dovrà*dovremo*dovrete*dovranno",4,5
"if only/I wish","magari",4,5
"bubble","bolle",5,5
"to read, conjugated in conditional","leggerei*leggeresti*leggerebbe*leggeremmo*leggereste*leggerebbero",3,3
"to get up","alzarsi",6,12
"to be embarrassed","vergognarsi",4,10
"to look for, conjugated in future tense","cercherò*cercherai*cercherà*cercheremo*cercherete*cercheranno",4,4
"to waste","sprecare",0,2
"to be, conjugated in future tense","sarò*sarai*sarà*saremo*sarete*saranno",2,2
"to understand, conjugated in present tense","capisco*capisci*capisce*capiamo*capite*capiscono",19,27
"left","sinistra",10,13
"peas","piselli",8,11
"the first","il primo",10,11
"to come","venire",9,9
"different","diverso",9,9
"watch out!","attento!",6,7
"well","bene",7,7
"to activate","attivare",7,7
"to play, to sound","suonare",3,3
"to cause, to give rise to, to produce","cagionare",11,14
"on board","a bordo",11,12
"late","tardi",9,10
"tired","stanco",9,10
"to leave","partire",10,10
"my","mio",8,8
"perhaps, maybe","forse",8,8
"to have, conjugated in conditional","avrei*avresti*avrebbe*avremmo*avreste*avrebbero",4,6
"rain","pioggia",4,4
"available","disponible",1,2
"to doubt","dubitare",8,11
"to come, conjugated in present tense","vengo*vieni*viene*veniamo*venite*vengono",6,9
"to do/make, conjugated in past participle","avere fatto",5,5
"dark","scuro",5,5
"to go out, conjugated in present subjunctive","esca*esca*esca*usciamo*usciate*escano",5,5
"there are","ci sono",19,26
"to win, conjugated in past participle","avere vinto",9,14
"to become","diventare",8,14
"to be born, conjugated in past participle","essere nato/a/i/e",6,8
"to skate","patinare",7,8
"a connection","una coincidenza",8,8
"to go, conjugated in future tense","andrò*andrai*andrà*andremo*andrete*andranno",2,2
"desert, empty, uninhabited","deserto",0,0
"now","adesso",14,19
"to look for","cercare",15,19
"how","come",10,11
"to stay, conjugated in imperfect subjunctive","stessi*stessi*stesse*stessimo*steste*stessero",4,7
"around","intorno a",15,20
"to cut","tagliare",15,20
"upright, on one's feet","ritto",12,18
"look, glance","sguardo",9,10
"today","oggi",9,10
"to know someone","conoscere",10,10
"shy","timido",6,6
"to discover","scoprire",0,0
"to be able to, conjugated in conditional","potrei*potresti*potrebbe*potremmo*potreste*potrebbero",3,3
"where is","dov'è",3,3
"vehicles","i veicoli",14,20
"night","notte",11,12
"on the","sul",5,6
"cup (of gelato)","coppa",4,4
"to break","rompere",4,4
"worth it","ne vale la pena",4,4
"mouthful, bite, morsel","boccone",14,19
"churches","le chiese",13,15
"to be able to","potere",9,9
"ahead of schedule","in anticipo",7,7
"animals","animali",7,7
"to make a plan","fare una idea",3,3
"many","molti",12,14
"to have, conjugated in imperfect subjunctive","avessi*avessi*avesse*avessimo*aveste*avessero",5,8
"to read","leggere",6,6
"to have, conjugated in future tense","avrò*avrai*avrà*avremo*avrete*avranno",4,4
"recreation","ricreazione",4,4
"backwards","indietro",0,2
"to give, conjugated in imperfect subjunctive","dessi*dessi*desse*dessimo*deste*dessero",6,15
"skinny","magro",12,15
"to carry, to bring","portare",13,15
"outside","fuori",11,13
"a flirt","casanova",3,3
"however","tuttavia",14,18
"tacere","to keep quiet, to fall silent",10,16
"at the beach","in spiaggia",10,10
"on top of","in cima a",9,10
"to arrive","arrivare",9,10
"to scare","spaventare",3,6
"to attach, conjugated in conditional","allegherei*allegheresti*allegherebbe*allegheremmo*alleghereste*allegherebbero",3,4
"grandmother, grandfather","nonna, nonno",4,4
"to be, conjugated in past participle","essere stato",4,4
"inside","dentro",11,13
"to sell, conjugated as past participle","avere venduto",7,11
"by train","in treno",11,11
"last (i.e. last month)","scorso",7,7
"banana","banana",7,7
"pastimes","i passatempi",7,7
"to taste, enjoy, relish","gustare",7,7
"to come, conjugated in conditional","verrei*verresti*verrebbe*verremmo*verreste*verrebbero",3,5
"the clothes","i vestiti",9,10
"to accept, to admit, to take in","accetare",8,10
"to rent","affitare, noleggiare",8,8
"to drink, conjugated in conditional","berrei*berresti*berrebbe*berremmo*berreste*berrebbero",2,2
"to ask for, conjugated in past participle","essere chiesto/a/i/e",9,21
"hello","salve",13,15
"to ask","domandare",11,13
"everywhere","dovunque",7,11
"much, a lot of, very","molto",9,9
