English,Italian
to advertise,pubblicizzare
to clean ,pulire
to pick (up),raccogliere
to shave ,radersi
to cool,raffreddare
to reach,raggiungere
to register,registrare
to realize,rendersi (conto)
to stay,restare
to recharge,ricaricare
to receive,ricevere
to get,ricevere
to get,ricevere
to require,richiedere
to recognize,riconoscere
to remember,ricordare
to remember,ricordarsi
to laugh ,ridere
to remain,rimanere
to thank,ringraziare
to give (up),rinunciare
to repair,riparare
to repeat,ripetere
to return (an object),riportare
to rest,riposarsi
to cash (a check),riscuotere
to resolve,risolvere
to answer,rispondere
to respond,rispondere
to return,ritornare
to return,ritornare
to break ,rompere
to break ,rompere
to go (up),salire
to jump,saltare
to jump,saltare
to say (goodbye),salutare
to greet,salutare
to save ,salvare
to know (info),sapere
to warm up,scaldare
to choose,scegliere
to go down,scendere
to ski,sciare
to find (out),scoprire
to discover,scoprire
to write,scrivere
to lay (down),sdraiarsi
to sit (down),sedersi
to mark,segnare
to follow,seguire
to seem,sembrare
to sound,sembrare 
to hear,sentire
to smell,sentire (un odore)
to feel,sentirsi
to feel (well or ill),sentirsi
to separate,separare
to serve,servire
to stop,smettere
to suffer,soffrire
to dream,sognare
to add (numbers),sommare
to surprise,sorprendere
to smile,sorridere
to disappear,sparire
to brush ,spazzolare
to send,spedire
to turn (off),spegnere
to spend,spendere
to experiment,sperimentare
to explain,spiegare
to get (dirty),sporcarsi
to get (married),sposarsi
to establish,stabilire
to get (tired),stancarsi
to study,studiare
to happen,succedere
to occur,succedere
to suggest,suggerire
to play (instrument),suonare
to ring,suonare
to overcome,superare
to suppose,supporre
to wake (up),svegliarsi
to cut,tagliare
to keep,tenere
to touch,toccare
to translate,tradurre
to carry,trasportare
to find,trovare
to be (located),trovarsi
to kill,uccidere
to scream,urlare
to use,usare
to use,usare
to be (worth it),valere (la pena)
to see,vedere
to sell,vendere
to come,venire
to get (dressed),vestirsi
to travel,viaggiare
to win,vincere
to visit,visitare
to live,vivere
to fly,volare
to want,volere
to activate,attivare
to agree,accordarsi
to apologize,scusarsi
to attach,allegare
to be (able to),potere
to be (born),nascere
to be (embarrassed),vergognarsi
to be (formal),fare (complimenti)
to be (so-so),stare (così così)
to be (wrong),sbagliare
to bear,sopportare
to become (bored),annoiarsi
to begin,cominciare
to behave,comportare
to bother,molestare
to call (on the phone),telefonare
to call (oneself),chiamarsi
to cause,cagionare
to celebrate,festeggiare
to change,modificare
to bypass,aggirarsi
to confuse,confondersi
to contain,contenere
to dare,osare
to disturb,turbare
to encircle,cingere
to entertain,intrattenere
to flirt,flirtare
to forget,dimenticarsi
to get (better),guarire
to have (to),bisognare
to hope,sperare
to hurry,affrettarsi
to hurt,fare male
to joke,scherzare
to laugh,redere
to learn,imparare
to leave,partire
to let (go),lasciare (andare)
to live,abitare
"to load (download, upload)",caricare
to make (a fool of oneself),fare (una brutta figura)
to make (a plan),fare (una idea)
to maneuver,manovrare
to matter,importare
to mean (I mean to go),intendere
to mean (i.e. I meant to say),voler (dire)
to mean (i.e. what does that word mean?),significare
to move (out),sgomberare
to mutter,bofonchiare
to need,avere (bisogno di)
to obtain,ottenere
to occur,avvenire
to omit,tralasciare
to peek,sbirciare
to pet,accarezzare
to pick (up),raccattare
to plead,supplicare
to practice,practicare
to put (on),mettersi
to put (to bed),mettere (a letto)
to recover,riprendersi
to reload,recaricare
to rent,affitare
to repent,pentirsi
to resume,riprendere
to retain,ritenere
to return,tornarci
to rob,rubare
to run (after),correre (dietro a)
to scare,spaventare
to scrutinate,scrutare
to send,mandare
to share,condividere
to shout,gridare
to skate,patinare
to slam,sbattere
to stay,stare
to stop,fermare
to manage (he managed to smile),riuscire
to sustain,sostenere
to take (the metro),prendere (la metro)
to taste,gustare
to tell (a story),raccontare
to throw,scagliare
to tow (pick up women),rimorchiare
to trust,fidarsi
to try,provarsi
to update,aggiornare
to wait,aspettare
to waste,sprecare
